"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NGEF",5332.51456738245,-0.414782375941098,0.064939850370434,-6.38717788191796,1.68975044117092e-10,2.09154895678935e-07
"AI593442",3304.96761803507,-0.410000822176565,0.0647187861278882,-6.33511298197681,2.37167416883254e-10,2.73991611144661e-07
"HPCA",6828.930578236,-0.462012322625435,0.0842244569871178,-5.48548888473214,4.12327484250014e-08,1.74273731087037e-05
"IQSEC1",4195.96925508406,-0.352370552732078,0.0652524677094412,-5.40011075598133,6.65997664851197e-08,2.52446705422298e-05
"KCNJ2",399.174220566621,-0.652182769309579,0.134640291424566,-4.84389006001946,1.27321400304555e-06,0.000329306350130989
"ARPP19",6815.44367574611,-0.304202029862307,0.0652364852213949,-4.66306590292116,3.11532932183654e-06,0.000693108916330409
"TBC1D30",1649.80481614739,-0.401245159535372,0.0869369380776266,-4.61535876933114,3.92416823755614e-06,0.000860783688463422
"PHF24",7378.67359062897,-0.321065973486763,0.0696681462370685,-4.60850461549862,4.05575373123689e-06,0.000878526955107551
"GCNT2",666.89092476607,-0.487765440126348,0.107054345689956,-4.55624138359582,5.20770874801823e-06,0.00106806201280609
"SATB2",1140.03420820509,-0.437969747439577,0.0961427539403022,-4.55541088111045,5.22832788329641e-06,0.00106806201280609
"PPP3CA",23766.0386276798,-0.309090409094605,0.0681787946583203,-4.53352703936202,5.80068366257471e-06,0.00114295615015234
"SPOCK1",5136.58915440477,-0.328362069042469,0.0725725227561589,-4.52460596065751,6.05081324126423e-06,0.00116505047397631
"ZBTB18",5874.99676420962,-0.369398140854324,0.0822504926186415,-4.49113590804928,7.08443246982182e-06,0.00133441445945155
"PCSK2",7509.08466267582,-0.320817528056751,0.0718034373285308,-4.46799679782566,7.89554875456038e-06,0.00147120391793308
"SYNDIG1",566.494027571544,-0.492324880574096,0.113331278946529,-4.34412180953485,1.39833913978721e-05,0.0024417064527839
"PRRT2",3441.48637301232,-0.327452773783099,0.0769900858989868,-4.25318104220232,2.10755050281599e-05,0.0033027686688608
"LINGO3",479.715599924259,-0.523071510645196,0.12362141278818,-4.23123712023463,2.32409506326662e-05,0.00350210811750846
"KCNQ5",2049.90021102111,-0.312979455638333,0.0741542849150301,-4.22065233313168,2.43596379943153e-05,0.00360793304960247
"SORCS1",844.589802668585,-0.393684598453808,0.0933400203732789,-4.21774708082784,2.46755369078892e-05,0.00362374897522723
"ASAP1",2762.00172150081,-0.316280148051168,0.0754905594844079,-4.18966490924595,2.79366693217061e-05,0.00393589059086053
"POU3F1",419.669114648578,-0.473709927320333,0.113043856910265,-4.19049685907628,2.7834426802052e-05,0.00393589059086053
"SATB1",1835.41577982048,-0.398417515043861,0.0953689707474691,-4.17764302079808,2.94545454579869e-05,0.00401536620007634
"DIRAS2",6488.89192878801,-0.302453372392483,0.0724254252074553,-4.17606622986522,2.96593498534117e-05,0.00401536620007634
"RAPGEF4",11184.592021257,-0.356191082870045,0.0852856294892976,-4.17644901026078,2.96095076732295e-05,0.00401536620007634
"COCH",480.872771472109,-0.439364290152597,0.105748363183123,-4.15480936940608,3.25558854452053e-05,0.00434719654971192
"GM4724",337.674262696377,-0.677068759257589,0.162975728508861,-4.15441468157497,3.26121271546281e-05,0.00434719654971192
"RGS8",1511.01382724266,-0.50318509237415,0.12119873284065,-4.15173558815774,3.29963358900525e-05,0.00436483591327267
"ADRA1B",382.119171928246,-0.563949420304501,0.137861150380303,-4.09070589320336,4.30062222781324e-05,0.00536154550976803
"GM29253",6.86798580449317,-6.31604955489604,1.55051124250284,-4.07352709336094,4.6306461789793e-05,0.00561150123325401
"GM2274",33.4714284998259,-8.51465147759134,2.09860732279358,-4.05728665153849,4.96461337326743e-05,0.00585250239084022
"A830008E24RIK",5.76313440473527,-5.6638609756098,1.41164594383775,-4.0122390464367,6.01455491005977e-05,0.00685698829187011
"ARHGAP32",8925.51488568807,-0.263633967207788,0.0657589432882515,-4.00909677109865,6.09514365097723e-05,0.00690344734168525
"ADGRL2",1864.89301605895,-0.364110071682769,0.0910162058246558,-4.0004971464558,6.32095494462424e-05,0.0070668276280899
"CIT",2302.49254425596,-0.412037422232565,0.103130043922445,-3.99531898330636,6.46072055295557e-05,0.00708593838368147
"FRMPD4",1681.78636290931,-0.371149986538607,0.0931243119328509,-3.98553265882096,6.73289153992822e-05,0.00724684953387678
"PIK3R1",2791.50321200417,-0.327070692784865,0.0828583245394713,-3.94734861708504,7.90214518231715e-05,0.00834977279660817
"IQSCHFP",57.1752005910159,-1.71130642880776,0.434699421364654,-3.93675800955854,8.2589815861663e-05,0.00867393284282884
"CLSTN1",21269.3460268028,-0.275174552879823,0.0702697450956659,-3.9159748267935,9.00396433759881e-05,0.00923252650924555
"CACNA2D3",1365.0755424771,-0.464061312128527,0.118814944284768,-3.90574868272711,9.39340992220727e-05,0.00948666733248477
"SEMA7A",2415.72148097292,-0.368858965014085,0.0945989631147521,-3.8991861313178,9.65165606610813e-05,0.00966783514275073
"DKK3",7029.69507660039,-0.418464111729282,0.107540473073956,-3.89122438992345,9.97396395901799e-05,0.00993326560033464
"EPDR1",1976.06466108084,-0.297373912073855,0.0765413416828015,-3.88514109546467,0.000102270475319316,0.0100737123573977
"D430041D05RIK",4150.71808859709,-0.343235220382261,0.0887697506308148,-3.86657862552464,0.000110372890592801,0.0106258434504592
"TDO2",13.0744757539139,-2.58369989702405,0.668653863203884,-3.86403195914272,0.000111530619670527,0.0106779784987323
"CHN1",17642.6883447802,-0.225877129332772,0.0586038276553734,-3.85430676407468,0.000116058004818459,0.0109899954398857
"PPP3R1",18737.8029864514,-0.222209258974354,0.0578523702394456,-3.84097069929289,0.000122548743338487,0.0114174579210357
"GSG1L",1706.85990315536,-0.358982648948574,0.0941124211114569,-3.81440244240909,0.000136512850868335,0.0123209957952989
"ITPR1",14002.7075835453,-0.462226832144094,0.121483109753606,-3.80486499795396,0.000141881552912982,0.0125442113797401
"SLC7A14",2225.83983520784,-0.328376626591904,0.0862775716852658,-3.80604854978763,0.000141204676091184,0.0125442113797401
"GM13378",5.75952180666116,-5.81068741753977,1.52696019494325,-3.80539547578432,0.000141577794044246,0.0125442113797401
"ATP2B2",11621.1163502724,-0.33180570192948,0.0873493108240753,-3.79860698154504,0.000145511619088628,0.0127058173405712
"MAPK10",6310.71820210142,-0.26522067883939,0.0699903788824935,-3.78938767119218,0.000151019080214721,0.0130199484628901
"LZTS3",3766.51809210554,-0.331372035492947,0.0874759554334263,-3.7881499419019,0.000151773247348608,0.0130201911054655
"GM19410",845.485129932849,-0.419115440137922,0.110710427180228,-3.78569075029972,0.000153282201978625,0.0130848634388551
"GAS7",9960.56311007674,-0.273729064782498,0.0725195564533376,-3.7745551430479,0.00016029344969483,0.0134841028629209
"KCNT2",868.178568857834,-0.353343170629774,0.0936116037638767,-3.77456593437964,0.000160286511417703,0.0134841028629209
"ATF6",1910.61584274934,-0.294603630952191,0.0784194117567824,-3.75676920232332,0.00017212110125103,0.014135955277626
"PLXNA2",2886.38682110247,-0.290301623372849,0.07779211297931,-3.73176164336942,0.000190145377079694,0.0153973328944581
"DAGLA",1713.50942634708,-0.334933537933397,0.0903204835104325,-3.70827884125211,0.000208672799276363,0.0164606181662382
"PRKCB",8893.661444231,-0.302044284948184,0.0814594055729342,-3.70791172392918,0.000208975474440095,0.0164606181662382
"KCNQ3",4281.32835639741,-0.320856648568288,0.0865604151244677,-3.70673648118392,0.000209947195371878,0.0164623300841596
"TPD52",1456.42375303261,-0.314763171074608,0.0857209125924955,-3.67195310403362,0.000240703858792346,0.0184564476504981
"JPH3",3533.82099828947,-0.257847310926568,0.0704253179892858,-3.66128713775628,0.000250951313021127,0.0191329503870609
"ADORA1",3242.12872251034,-0.268538552702725,0.0733660301499568,-3.66025737189056,0.000251962039324838,0.0191329503870609
"HAPLN4",1685.17392977538,-0.442721239093242,0.121422162644235,-3.64613205243599,0.00026621720937013,0.0197994764857296
"PHACTR1",8292.87214860657,-0.374462514467677,0.102740852461416,-3.64472851350251,0.00026767421125045,0.0198227624220472
"CYFIP2",17206.7852747596,-0.256338691023221,0.070470648513853,-3.63752422361815,0.000275271310406892,0.020298623566132
"MEF2C",11864.2566612983,-0.231330801766266,0.064362763217325,-3.59417138423908,0.000325425584739569,0.0229239835689105
"GRIK4",423.233218633481,-0.417899711462807,0.116316082940906,-3.59279388453203,0.000327151359689232,0.0229522506560919
"DDIT4L",315.425490231401,-0.59911589281937,0.167335454586729,-3.58032847431535,0.000343162549044617,0.0236918876987816
"CPLX2",20133.0482483576,-0.228872109079644,0.0640562941475396,-3.57298392180615,0.000352936438948104,0.0241740535594138
"FLYWCH1",4444.192788921,-0.25168965862864,0.0705433140401974,-3.56787403672616,0.000359889430974137,0.024553243895082
"NEFL",7858.09678161789,-0.241459891137987,0.0678512551459559,-3.55866506254865,0.000372744507302759,0.0251858365799867
"KIF5C",16079.7058334067,-0.24865534691079,0.0698839563269221,-3.55811777094534,0.000373521842059933,0.0251858365799867
"GABRA1",8123.20343578862,-0.252813862088122,0.0719409975977173,-3.51418343545662,0.000441108088842182,0.0287366995170909
"ADCY1",14348.8740564278,-0.382197101812022,0.108894102158362,-3.50980534516187,0.000448434848138919,0.0289959980723856
"SLC8A2",5440.47104599185,-0.288799709421075,0.0822827633727207,-3.50984456018915,0.000448368720397315,0.0289959980723856
"BNIP3",2145.30801997873,-0.231545265927538,0.0665301113800229,-3.48030780536262,0.000500838019616916,0.03144573203602
"HR",525.087568872184,-0.407865285036664,0.117784585820166,-3.46280697254727,0.000534571744482325,0.0329010609302535
"RBFOX1",3944.14979002443,-0.282227526739681,0.0816983434555533,-3.4545073351851,0.000551299219166036,0.0334037208703785
"TTLL11",588.477760054472,-0.349994538309741,0.101460117373486,-3.44957750266908,0.000561464535483218,0.03355041012203
"GNG2",3293.25524552741,-0.260366114824668,0.0754589926438468,-3.45043189290308,0.000559690368851375,0.03355041012203
"LRRC4C",2249.48758340946,-0.238238722465361,0.069037356437339,-3.45086681703398,0.000558789242816644,0.03355041012203
"SCN2B",4670.60856111626,-0.273543502555607,0.0793204779612561,-3.44858616067869,0.000563529650501515,0.0335580938609648
"FOXP1",1740.02460849591,-0.506443308381545,0.147376101794213,-3.43640048973958,0.00058949886194157,0.0347463461856648
"UVRAG",761.807592162017,-0.487570168888781,0.142197008220141,-3.42883563438941,0.00060617651167221,0.0354269385659144
"GABBR2",5998.7754092058,-0.3219962711617,0.093878862518334,-3.42991236284756,0.000603776223808599,0.0354269385659144
"MYLK3",77.5730227561243,-0.863386039637132,0.252043785618695,-3.42553988196046,0.000613578845416691,0.0356802275578048
"RASGEF1B",863.903374736343,-0.348566242367025,0.101848093770154,-3.42241302182495,0.000620679523419802,0.0359724262921129
"PDE1A",3881.77918919705,-0.301291728604636,0.0881115511603256,-3.41943507561696,0.00062751305137601,0.0362472455576496
"FLRT2",1555.1276643951,-0.297420044162549,0.087146942459713,-3.41285690315575,0.000642856881077645,0.037010189010613
"PLXDC1",396.520090893675,-0.458055419824448,0.134320338743495,-3.41017171419715,0.000649219902203645,0.0371298075422012
"HLF",3865.24644545352,-0.294915218950106,0.086907269421662,-3.39344707194996,0.000690188947182158,0.0392140467728512
"DAB2IP",2131.81090989481,-0.3093964298042,0.0915516556806674,-3.37947388830822,0.000726247058248075,0.0405972105560674
"HIVEP1",1640.75830789947,-0.330032166449197,0.0978643282910715,-3.37234385819932,0.000745313332834102,0.0413959446944941
"GM16867",333.039943959584,-0.618284853458955,0.184064643717255,-3.35906364727337,0.000782070527172887,0.0424843265372381
"MTCL1",1559.12592035063,-0.400684378312734,0.119518434408734,-3.35249018525843,0.000800880810046294,0.0433701986165382
"KLHL2",3464.84210772712,-0.2300765029946,0.068684706835915,-3.34974863537299,0.000808849259221392,0.0435296546989053
"IGHM",463.135738647357,-0.566576047020815,0.169123884672724,-3.3500652383737,0.000807925294074164,0.0435296546989053
"CTNNA2",2498.49379106058,-0.236639199688522,0.0710106008806728,-3.33244891260918,0.000860852738240815,0.045410489118916
"EXTL3",2572.44041064216,-0.248249559044336,0.0745539597092842,-3.32979710282808,0.000869092891815935,0.0456379112796313
"CNTNAP1",3054.41795036365,-0.288721589724222,0.0868032056821758,-3.32616275464937,0.000880504990094205,0.0459586475100677
"MYRIP",1407.78027027477,-0.336831286094846,0.101351774668053,-3.32338814192486,0.000889310806332706,0.0461403202483217
"CEP126",305.641827769522,-0.452937070103622,0.136626856386688,-3.3151393663168,0.000915974455147533,0.0469613057196793
"MRRF",266.307706444501,-0.501252045227301,0.151776787925248,-3.30256063578163,0.000958063718558509,0.0485446964295334
"NOS1AP",1542.79360113736,-0.338574536155779,0.102694868366512,-3.29689829239984,0.000977588952936581,0.0493821170343769
"AGTPBP1",3801.05084552679,-0.294442113219419,0.0894707978196225,-3.29092978262057,0.000998568352459862,0.0499478976741221
"PGR",598.210332107489,-0.390643413397247,0.118719303609849,-3.29047931986724,0.0010001685321092,0.0499478976741221
"MB21D2",626.914773305442,-0.320543973767083,0.0973768106123585,-3.29178961347499,0.000995520551577784,0.0499478976741221
