"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FABP7",598.131704224476,2.20197141971518,0.182645211294824,12.0560041191597,1.80321410195091e-33,3.12478971727073e-29
"NDNF",476.534215915632,1.93881272531569,0.17441353899783,11.1161824733102,1.04654877019314e-28,9.06782181933848e-25
"CPNE7",637.902998588356,1.00245267918733,0.120958985000636,8.28754208860188,1.15612695903193e-16,6.67817469102146e-13
"PAX6",189.982162213601,1.38339155392351,0.174426541250435,7.9310840197037,2.17241174189954e-15,9.41143076884429e-12
"PCBP3",902.846923490426,1.13266631045538,0.144899033538725,7.81693488764825,5.41250824171619e-15,1.875867106414e-11
"TRH",74.5986997935464,3.02004118134138,0.396913392939187,7.60881652034375,2.76617110363553e-14,6.84785415070002e-11
"MAP3K1",232.976623873669,1.58608843959881,0.208362555563303,7.61215677793381,2.69559293865535e-14,6.84785415070002e-11
"COL24A1",161.499031927049,1.3365491475405,0.184142831635468,7.25821980508236,3.92217838740266e-13,8.49592865941258e-10
"INPP5J",1006.82058394582,1.03720606866419,0.143402961561861,7.23280786789582,4.73108519907953e-13,9.10944171276102e-10
"NMB",43.6704413369836,2.81959401689366,0.4123950610776,6.83711878005034,8.08017446445536e-12,1.40021343294547e-08
"CPNE6",2036.52553748273,0.71334644450551,0.106755903781136,6.68203274235743,2.35650356040832e-11,3.7123500180287e-08
"AQP1",35.2532112830075,4.55573669078201,0.692734123500047,6.57645774364932,4.81787835090725e-11,6.95741782857264e-08
"CSDC2",1445.79522444805,0.643061235296157,0.10057888183541,6.39360095838488,1.62023931776385e-10,2.09154895678935e-07
"GPSM1",761.420581337643,1.2652251180929,0.203895817678659,6.20525292032668,5.46090055934602e-10,5.5665850466416e-07
"SLC6A11",1963.76428798134,0.702542466915245,0.113132710135375,6.20989690845893,5.30193721215159e-10,5.5665850466416e-07
"GCNT1",106.075650287831,1.78099549053027,0.288282554495552,6.17795098162194,6.4938868576239e-10,6.25180918643136e-07
"VIPR2",77.5892681176113,5.34080142496288,0.871724244242368,6.12670974822396,8.97149149560652e-10,8.18247242775608e-07
"GNG4",1364.04627517237,1.73910767952876,0.284477669630278,6.11333635356686,9.75694197169692e-10,8.41727288579281e-07
"LAMA3",149.631418662104,1.05184235893492,0.172466833070647,6.09880949402057,1.06861332729784e-09,8.41727288579281e-07
"MARCKSL1",859.055719455106,0.795412597272127,0.13026998700457,6.10587761280903,1.02237329809234e-09,8.41727288579281e-07
"NPR1",63.9561418656067,2.2333987011862,0.369913643621253,6.03762186039543,1.56402043387825e-09,1.17838739559462e-06
"CALB2",546.248550178459,3.09438933011688,0.514984612996461,6.00870249717179,1.87013932029856e-09,1.35031851172724e-06
"LY6G6E",40.1225314437038,2.22132476328915,0.371697111710385,5.97616901855278,2.28445988353947e-09,1.58349621287422e-06
"DOC2G",310.590255377965,3.96125872065875,0.665120509391495,5.95570075606724,2.58959791203726e-09,1.72596700837284e-06
"TRDN",23.6108144868417,4.89826703625553,0.827808660291333,5.91714881858287,3.27570286770069e-09,2.10239462942168e-06
"EOMES",116.390981249377,6.22639774491461,1.05428835042321,5.90578255219762,3.50976668683772e-09,2.17216953272182e-06
"SLCO5A1",98.0986627386027,1.85405591276674,0.317318312869134,5.84288973429459,5.13029780082369e-09,3.06561829622323e-06
"FRMD7",108.181944737851,4.65239345760877,0.801271589548048,5.80626284308036,6.38826499963929e-09,3.57104013479836e-06
"CRTAC1",841.244667941869,0.771117614547958,0.132780754233163,5.80745017605392,6.34314188034523e-09,3.57104013479836e-06
"SALL3",159.604545758116,1.13149618271741,0.195652686595356,5.78318755753935,7.32982609943201e-09,3.96932988990804e-06
"MS4A15",64.400949128934,8.77043634207274,1.51877091525398,5.77469337474513,7.70933459051009e-09,4.04833512481665e-06
"FAM184A",528.475222796777,0.898413258113135,0.156003580702776,5.75892716094014,8.4650217592905e-09,4.3144224137278e-06
"KCTD12",1889.21953668581,0.616439309889966,0.108081691468168,5.70345727862259,1.1740147279719e-08,5.81271463457861e-06
"FILIP1L",91.5516423328493,1.56705884526729,0.276805056559488,5.66123633991676,1.50286276570189e-08,7.23419690745781e-06
"PCDH20",370.077159947518,0.7521647411009,0.133267336348778,5.64402922507873,1.66115857210094e-08,7.78005862052355e-06
"APOLD1",96.979898880439,1.48299791365473,0.264038808847384,5.61659068274284,1.94762055234474e-08,8.88166225041631e-06
"TTC39C",382.03677726651,0.665725206255456,0.119819260960643,5.55607838771538,2.75903006024035e-08,1.22592902343346e-05
"INSYN2B",63.8435890862064,2.28760580747772,0.412801791363722,5.54165668690643,2.99623301790068e-08,1.29804304918002e-05
"DCX",890.377554038873,1.01888674259324,0.186294304169585,5.46923185405467,4.51990168634974e-08,1.86488991244654e-05
"ABLIM3",633.618857014081,0.811922607320516,0.148981352577908,5.44982706406785,5.04188221366404e-08,2.03187853210661e-05
"LGR6",184.554067399952,2.82695811591717,0.520214595708728,5.43421530121773,5.50380943703314e-08,2.16762531214426e-05
"LGR5",191.312155095891,2.68329175772426,0.496997634466943,5.39900307695074,6.70122248798298e-08,2.52446705422298e-05
"PACSIN2",1054.7524642148,0.728014409919537,0.135449647608758,5.37479737136256,7.66688524804899e-08,2.82679690347747e-05
"SMOC1",206.488118194295,1.01792611204128,0.189578523224352,5.36941682384897,7.89916577292789e-08,2.85176340998057e-05
"COL23A1",169.144402311162,1.09584332795454,0.205138198846608,5.34197596603624,9.1938846971635e-08,3.24557081601867e-05
"SHISA8",108.409282356708,3.38711853277337,0.634453274945228,5.33864142015152,9.36456464890838e-08,3.24557081601867e-05
"HCN4",124.353125474277,1.21740004814187,0.228882236345599,5.31889266541272,1.04400699516051e-07,3.54737200375226e-05
"SALL1",432.136071624134,0.976928143548445,0.183827824712496,5.3143649231358,1.07029940090309e-07,3.56677275350954e-05
"KLHL14",76.1515257436481,1.8771309490413,0.354013604135187,5.3024260285898,1.14273775886927e-07,3.7363212497067e-05
"ZFP608",383.923639843125,0.694481812157682,0.131108379583935,5.29700553360191,1.17717129290918e-07,3.77762987681911e-05
"RAB37",59.6333412815538,1.90579862727953,0.360297053399571,5.28952043681021,1.2263747951528e-07,3.86397251367325e-05
"CTXN3",48.6646081137221,1.98413770638297,0.375960461782064,5.27751694148396,1.30946101771962e-07,4.05208035286845e-05
"CDHR1",526.397337803775,4.07432323507564,0.773675174519975,5.26619357743195,1.39281419251714e-07,4.23439949861921e-05
