"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HPCA",6828.930578236,-0.367953872488013,0.0841810189192982,-4.37098382998618,1.23687953625238e-05,0.0170330012504186
"LINGO3",479.715599924259,-0.534178153274822,0.123674830160769,-4.31921477135181,1.5658534097094e-05,0.0170330012504186
"ANO3",3224.54197072839,-0.455259030895028,0.105196323800297,-4.32770855908695,1.50668652820579e-05,0.0170330012504186
"CPLX3",201.128539663442,-0.738664804644169,0.172503145982612,-4.28203671554272,1.85190415572336e-05,0.0177227227702725
"GABRA1",8123.20343578862,-0.304568621049017,0.0719639311754541,-4.23223990232625,2.3137541557213e-05,0.0186464229644235
"NGEF",5332.51456738245,-0.274884278903776,0.0648343066735215,-4.23979669109409,2.23722320401603e-05,0.0186464229644235
"ARPP19",6815.44367574611,-0.268163075397542,0.0652158449538243,-4.11193131956526,3.9236303156085e-05,0.0282517531484215
"DCAF1",600.078940566139,-0.525896375159363,0.129546182139897,-4.0595281657274,4.91719766278499e-05,0.0301009965664384
"FRMPD4",1681.78636290931,-0.376413854504151,0.093133847670247,-4.0416439771381,5.30777760771837e-05,0.0301009965664384
"ECE1",808.865388381057,-0.513211211983394,0.126807144206202,-4.04717900711382,5.18385979575376e-05,0.0301009965664384
"ITGA5",46.9823173308324,-1.3266694062561,0.331526164397088,-4.00170348143948,6.28880791725116e-05,0.0332049058030861
"GCNT2",666.89092476607,-0.423609097062228,0.106813254256519,-3.96588513299019,7.31240741210239e-05,0.0373225274313706
