"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"FAM160A1",49,35.82117217,28.47113192,31.26714939,26.94517711,28.7060759,22.30166561,24.52339062,29.05929902,37.64820399
"TEX9",49,38.60199404,42.31982391,70.65126986,67.84341611,57.87599364,39.03313349,59.83150679,47.04965414,40.77496126
"4833420G17RIK",49,711.8652003,610.4864854,617.6876105,595.9670732,569.2448495,538.0263223,535.7993401,603.4658862,715.7314176
"ZFP783",49,158.7590892,119.8191448,139.3891202,120.1576267,109.5784748,104.1200326,102.6052293,135.740813,177.5053032
"ATP2A3",49,123.0976853,93.55633859,109.8525718,74.41243065,88.99181437,68.9911065,74.09376103,96.8469631,129.7261474
"IRAK1",49,871.4495013,727.9533717,796.5249146,681.8849486,682.3053517,662.0600085,708.8007812,805.5967314,873.6043765
"ZFP1",49,281.801923,272.3218475,274.6015731,267.6282703,267.7640512,263.4286704,270.2646859,276.7700581,283.1286009
"6820431F20RIK",49,2394.581884,2170.074054,2346.81052,1983.918104,1875.542629,2019.204079,1804.593121,2180.515094,2616.331764
"NQO1",49,72.90450207,46.28404048,55.14024573,34.52015723,32.8736617,45.04197116,32.25336899,47.73693472,85.10679101
"EBF3",49,35.21212997,16.76058952,23.89431912,12.42945364,8.854433765,16.80466651,7.813325107,20.76056797,49.05637666
"ENPP1",49,100.9017462,92.01618291,74.61610031,57.83299312,58.31450842,61.77939498,50.81153431,79.73179358,106.2152057
"DDX17",49,8387.994933,8241.231793,7543.352337,6710.248696,6691.470332,6766.564169,6305.277019,7477.282054,9278.829656
"RAD9A",49,118.0894258,107.4906136,97.66894417,82.1322861,91.95653692,82.09731455,80.38981414,100.9827082,134.6632136
"MBTD1",49,635.1721194,590.7041426,563.1861817,554.2408625,557.9048867,548.4828562,520.5851562,587.7158777,683.554802
"WSB1",49,1615.102314,1523.448983,1508.510417,1144.086124,1235.906598,1014.502171,1292.584995,1409.254835,1931.777335
"HS3ST1",49,260.5970929,248.7139059,253.2680047,193.6365067,202.5788998,179.6148089,229.2803752,213.0710222,294.0001534
"EEF2KMT",49,42.78732802,43.02160594,38.49151942,29.7066101,27.14676134,22.94335931,37.2976411,29.26100949,64.21673672
"CCNL1",49,825.4460313,782.6975474,771.3703107,698.7660936,670.5800846,685.2355361,728.3126515,724.1792075,899.6138818
"LACC1",49,70.22301418,73.29525981,71.09670919,59.77157911,47.16382752,51.15075642,68.08138059,71.38158383,100.6037409
"XNDC1",49,6.640865765,6.303808834,5.197720554,4.619205879,2.891126439,3.560876356,2.835907907,5.241637079,10.616577
"CCDC39",49,413.8822575,402.3671511,423.0944103,341.6893915,307.3911756,312.3421164,311.0634044,403.1129042,524.8448154
"LPCAT2",49,164.8135071,149.9799429,166.3780963,143.3054717,126.9650022,126.5269965,140.015074,150.0396611,204.6244356
"DYNLT1C",49,66.23057892,52.22857295,40.30035573,41.26477701,23.06737945,38.04706859,46.91172966,49.71063822,95.56368848
"PLIN3",49,208.3185125,162.7737289,136.8474999,126.5872455,106.5564384,144.649593,139.6100681,166.9279457,246.0370953
"RBM25",49,3281.800864,3269.407896,2967.52052,2687.869124,2820.766516,2802.149559,2973.717713,3039.915021,3751.037036
"FZD6",49,159.1907094,135.0087547,100.990461,93.13704967,105.8801426,100.3792061,102.2682446,114.9427501,200.3192833
"DCLRE1C",49,210.8176734,203.7577518,184.4531311,183.2957558,179.4274765,180.9576774,183.6972982,194.4240432,227.0504957
"SLC6A6",49,1985.816969,1784.393069,1768.570113,1696.355445,1653.010652,1617.681691,1622.448196,1661.926062,2467.51101
"ZFP945",49,451.8769561,397.5000949,375.7763439,404.9353542,347.12412,371.3911411,367.6005307,376.3166525,536.1518463
"GM29340",49,7.399947039,10.95282778,6.511612807,28.68854738,9.880474543,9.856432246,17.96458035,11.53646561,6.145171283
"PNPT1",49,430.6028753,436.4416031,404.8304705,404.3866136,359.6535771,372.811298,390.2579103,416.0319952,514.2774834
"ARGLU1",49,3277.460556,3068.335271,2863.499454,3016.975647,2763.557942,2653.569962,2989.373898,3065.135621,4312.258864
"LGI4",49,497.7433585,465.5385583,428.0257747,393.8371949,420.3586283,426.8476543,489.2020641,443.6951287,531.0866645
"4930481A15RIK",49,8.853895855,5.263654357,3.108130973,3.468435986,3.861410606,9.565998043,2.822448512,5.966793286,4.423190709
"ATG16L2",49,343.4082547,319.7500243,277.9179103,210.4784033,300.4777943,240.1463333,318.0992125,299.6657088,386.3825562
"GM4285",49,14.40967606,11.5246902,9.372603413,16.15452127,9.659100561,7.119577911,18.89033707,15.71397272,13.2691754
"HELZ2",49,107.850652,106.5763625,109.1871437,83.03481782,106.4162793,100.785095,109.7740885,94.96614455,120.0257837
"CCM2L",49,44.92083219,40.84766899,36.06138701,28.60276388,41.62947428,37.48130612,41.05088618,38.09251975,50.87910471
"ALPL",49,121.0912539,102.7789859,110.2971709,87.6768567,109.6859418,104.1609768,106.071625,101.3083883,127.3593646
"NPL",49,50.5714647,45.0839677,47.7618312,33.26178985,44.59558628,44.02901094,47.37600081,44.48132676,60.9946291
"WFDC1",49,79.90155052,85.16646774,93.17840509,69.86261109,81.55766104,76.14712149,94.64759457,78.37704154,104.0761772
"ABI3",49,53.41846997,64.39804306,59.79647418,41.73837842,52.1597177,42.46732281,62.78004167,49.92041714,83.47914554
